user,movie,rating
u127,i450,5
u127,i229,5
u127,i300,5
u378,i655,4
u378,i527,4
u378,i896,4
u69,i9,4
u69,i12,5
u69,i150,5
u265,i591,5
u265,i125,4
u265,i328,4
u221,i250,5
u221,i172,5
u221,i33,4
u193,i301,4
u193,i627,4
u193,i100,5
u327,i9,5
u327,i93,4
u327,i655,4
u185,i23,4
u185,i279,4
u185,i216,4
u13,i530,5
u13,i97,4
u13,i59,4
u137,i15,4
u137,i257,5
u137,i222,5
u225,i492,4
u225,i64,4
u225,i237,5
u399,i817,4
u399,i772,4
u399,i94,5
u52,i15,5
u52,i93,4
u52,i287,5
u407,i50,4
u407,i194,4
u407,i222,4
u321,i736,4
u321,i484,5
u321,i216,4
u118,i184,5
u118,i436,5
u118,i22,5
u70,i588,5
u70,i202,4
u70,i423,5
u8,i22,5
u8,i210,4
u8,i176,5
u331,i7,4
u331,i47,5
u331,i81,5
u348,i742,4
u348,i405,4
u348,i1,4
u192,i1160,4
u192,i257,4
u192,i340,4
u342,i815,4
u342,i1128,5
u342,i58,5
u405,i11,4
u405,i575,5
u405,i521,4
u157,i293,5
u157,i407,4
u157,i1,5
u116,i484,4
u116,i730,4
u116,i180,5
u394,i42,4
u394,i161,4
u394,i228,5
u398,i654,4
u398,i216,5
u398,i493,5
u169,i234,4
u169,i127,4
u169,i705,5
u90,i652,4
u90,i33,4
u90,i14,5
u296,i14,4
u296,i48,5
u296,i284,4
u64,i176,4
u64,i746,5
u64,i736,4
u84,i7,4
u84,i148,4
u84,i289,5
u417,i99,4
u417,i200,4
u417,i3,4
u184,i9,5
u184,i58,4
u184,i511,4
u89,i213,4
u89,i387,5
u89,i14,4
u253,i705,5
u253,i203,4
u253,i496,5
u409,i181,4
u409,i516,4
u409,i6,4
u177,i508,4
u177,i198,4
u177,i403,5
u244,i31,4
u244,i237,5
u244,i89,5
u94,i1048,4
u94,i52,5
u94,i23,5
